Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.913333892822266,18.22333335876465,17.889999389648438,18.07666778564453,13.11341381072998,62259300
2010-01-05,18.030000686645508,18.06333351135254,17.856666564941406,17.89666748046875,12.982839584350586,46945200
2010-01-06,17.833332061767578,17.94333267211914,17.80666732788086,17.856666564941406,12.95382022857666,37551600
2010-01-07,17.906667709350586,17.916667938232422,17.753332138061523,17.866666793823242,12.961073875427246,31988100
2010-01-08,17.809999465942383,17.843332290649414,17.67333221435547,17.77666664123535,12.895781517028809,34089600
2010-01-11,17.77666664123535,18.14666748046875,17.700000762939453,18.06999969482422,13.108577728271484,41963100
2010-01-12,18.0,18.25,17.953332901000977,18.24333381652832,13.234321594238281,45351000
2010-01-13,18.26333236694336,18.399999618530273,18.136667251586914,18.336666107177734,13.302029609680176,39872100
2010-01-14,18.24333381652832,18.280000686645508,18.053333282470703,18.06999969482422,13.108577728271484,41316000
2010-01-15,18.113332748413086,18.183332443237305,17.866666793823242,17.893333435058594,12.980420112609863,57262500
2010-01-19,17.969999313354492,18.086666107177734,17.833332061767578,18.010000228881836,13.065052032470703,43855500
2010-01-20,17.97333335876465,17.979999542236328,17.74333381652832,17.953332901000977,13.023943901062012,39925800
2010-01-21,18.023332595825195,18.023332595825195,17.613332748413086,17.639999389648438,12.796646118164062,48086100
2010-01-22,17.65333366394043,17.823333740234375,17.56333351135254,17.64666748046875,12.801480293273926,58247700
2010-01-25,17.713333129882812,17.739999771118164,17.593332290649414,17.626667022705078,12.786971092224121,36009900
2010-01-26,17.606666564941406,17.953332901000977,17.57666778564453,17.8700008392334,12.963488578796387,46752000
2010-01-27,17.84000015258789,17.92333221435547,17.700000762939453,17.799999237060547,12.912712097167969,39576300
2010-01-28,17.793333053588867,17.816667556762695,17.503332138061523,17.536666870117188,12.721684455871582,50880300
2010-01-29,17.893333435058594,18.049999237060547,17.799999237060547,17.809999465942383,12.919966697692871,72842400
2010-02-01,17.873332977294922,17.926666259765625,17.770000457763672,17.82666778564453,12.932061195373535,33058500
2010-02-02,17.863332748413086,17.906667709350586,17.77666664123535,17.829999923706055,12.93447494506836,34163700
2010-02-03,17.90999984741211,18.166667938232422,17.8799991607666,18.09000015258789,13.123085975646973,53966700
2010-02-04,17.959999084472656,18.100000381469727,17.65333366394043,17.656667709350586,12.808731079101562,63089700
2010-02-05,17.59000015258789,17.843332290649414,17.586666107177734,17.816667556762695,12.9248046875,46637400
2010-02-08,17.793333053588867,17.84666633605957,17.639999389648438,17.643333435058594,12.79906177520752,31517700
